model,file,cores,action.levels,negotiation,episodes,duration,kappa,episode.reward,temp.rise,carbon.mass,capital,production,gross.output,investment,abatement.cost,climate_index,economic_index
#        consumption_all_regions,,,,,,,,,,,,,,,,,
#        #savings_all_regions,,,,,,,,,,,,,,,,,
#        abatement_cost_all_regions,,,,,,,,,,,,,,,,,
#      ]),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
K4B,Submissions/1680645852.zip,6,20,on,10000,225m39.731s,0.6,144.44,2.77,1496,8816,9538,3193,770,50.23,0.74,0.29
K4B,Submissions/1680661556.zip,6,20,on,10000,219m13.951s,0.4,162.67,4.22,2395,22991,13688,4610,2019,15.97,0.48,0.44
,,,,,,,,,,,,,,,,,
## Add damages to observation and revert to regular mitigation rate,,,,,,,,,,,,,,,,,
#obs = np.concatenate([,,,,,,,,,,,,,,,,,
#        global_temperature,,,,,,,,,,,,,,,,,
#        mitigation_rate_all_regions,,,,,,,,,,,,,,,,,
#        consumption_all_regions,,,,,,,,,,,,,,,,,
#        abatement_cost_all_regions,,,,,,,,,,,,,,,,,
#        damages_all_regions,,,,,,,,,,,,,,,,,
#      ]),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
K5B,Submissions/1680696424.zip,6,20,on,4000,93m2.163s,0.4,163.62,4.14,2382,40356,16033,5376,3632,35.94,0.5,0.53
K5B,Submissions/1680702098.zip,6,20,on,10000,205m58.370s,0.6,77.74,2,1051,1452,3609,1162,83,66.69,0.87,0.06
K5B,Submissions/1680718474.zip,6,20,on,4000,84m38.169s,0.45,163.91,4.27,2464,48101,16899,5646,4287,46.77,0.48,0.56
K5B,Submissions/1680730591.zip,6,20,on,4000,103m9.971s,0.55,131.64,1.35,880,9155,9498,2954,781,181.81,0.98,0.26
K3B,Submissions/1681824948.zip,6,20,on,12000,231m49.056s,0.55,118.06,2.82,1498,2736,6000,2002,191,41.08,0.73,0.15

K3R2,Submissions/1682013739.zip,6,20,on,2000,50m52.290s,.55,
Metrics: {'Episode Reward': 163.5, 'Temperature Rise': 4.08, 'Carbon Mass': 2342, 'Capital': 55958, 'Production': 17445, 'Gross Output': 5854, 'Investment': 5141, 'Abatement Cost': 28.32, 'climate_index': 0.51, 'economic_index': 0.58}

K3R2,Submissions/1682017571.zip,6,20,on,2000,43m27.326s,.55,
Metrics: {'Episode Reward': 154.85, 'Temperature Rise': 4.57, 'Carbon Mass': 2695, 'Capital': 71833, 'Production': 19031, 'Gross Output': 6363, 'Investment': 6416, 'Abatement Cost': 31.3, 'climate_index': 0.42, 'economic_index': 0.63}

K3R2,Submissions/1682026216.zip,6,20,on,2000,44m51.911s,.55,
Metrics: {'Episode Reward': 160.95, 'Temperature Rise': 4.44, 'Carbon Mass': 2605, 'Capital': 99737, 'Production': 20934, 'Gross Output': 6972, 'Investment': 8929, 'Abatement Cost': 32.25, 'climate_index': 0.45, 'economic_index': 0.7}

K3R2,Submissions/1682029683.zip,6,20,on,4000,80m41.900s,.55,
Metrics: {'Episode Reward': 159.78, 'Temperature Rise': 4.01, 'Carbon Mass': 2260, 'Capital': 100304, 'Production': 20978, 'Gross Output': 6934, 'Investment': 8984, 'Abatement Cost': 53.24, 'climate_index': 0.52, 'economic_index': 0.7}

K3R2,Submissions/1682034986.zip,6,20,on,4000,80m34.973s,.55,
Metrics: {'Episode Reward': 155.14, 'Temperature Rise': 3.4, 'Carbon Mass': 1811, 'Capital': 52271, 'Production': 17056, 'Gross Output': 5598, 'Investment': 4805, 'Abatement Cost': 76.25, 'climate_index': 0.63, 'economic_index': 0.55}


K3R2,Submissions/1682081494.zip,6,20,on,4000,79m41.533s,.6,
Metrics: {'Episode Reward': 151.39, 'Temperature Rise': 4.04, 'Carbon Mass': 2315, 'Capital': 130821, 'Production': 22656, 'Gross Output': 7432, 'Investment': 11740, 'Abatement Cost': 81.79, 'climate_index': 0.52, 'economic_index': 0.75}

K3R2,Submissions/1682086891.zip,6,20,on,4000,76m24.624s,.6,
Metrics: {'Episode Reward': 133.0, 'Temperature Rise': 4.44, 'Carbon Mass': 2591, 'Capital': 117474, 'Production': 21981, 'Gross Output': 7308, 'Investment': 10524, 'Abatement Cost': 36.81, 'climate_index': 0.45, 'economic_index': 0.74}

K3R2,Submissions/1682092243.zip,6,20,on,4000,75m55.088s,.6,
Metrics: {'Episode Reward': 155.23, 'Temperature Rise': 4.68, 'Carbon Mass': 2808, 'Capital': 71949, 'Production': 19041, 'Gross Output': 6372, 'Investment': 6426, 'Abatement Cost': 22.72, 'climate_index': 0.4, 'economic_index': 0.64}

K3R2,Submissions/1682107329.zip,6,20,on,4000,74m43.043s,.6,
Metrics: {'Episode Reward': 131.78, 'Temperature Rise': 4.69, 'Carbon Mass': 2809, 'Capital': 102242, 'Production': 21127, 'Gross Output': 7056, 'Investment': 9149, 'Abatement Cost': 20.64, 'climate_index': 0.4, 'economic_index': 0.71}


K3R2,Submissions/1682112422.zip,6,20,on,4000,81m8.546s,.75,
Metrics: {'Episode Reward': 160.77, 'Temperature Rise': 4.7, 'Carbon Mass': 2866, 'Capital': 81818, 'Production': 19692, 'Gross Output': 6570, 'Investment': 7377, 'Abatement Cost': 40.34, 'climate_index': 0.4, 'economic_index': 0.66}

K3R2,Submissions/1682118179.zip,6,20,on,4000,74m28.084s,1.5,
Metrics: {'Episode Reward': 157.58, 'Temperature Rise': 4.39, 'Carbon Mass': 2552, 'Capital': 117189, 'Production': 21963, 'Gross Output': 7295, 'Investment': 10501, 'Abatement Cost': 35.17, 'climate_index': 0.45, 'economic_index': 0.74}

K3R2,Submissions/1682126617.zip,6,20,on,4000,79m11.592s,1.5,
Metrics: {'Episode Reward': 161.37, 'Temperature Rise': 4.93, 'Carbon Mass': 3027, 'Capital': 102190, 'Production': 21106, 'Gross Output': 7052, 'Investment': 9144, 'Abatement Cost': 17.24, 'climate_index': 0.36, 'economic_index': 0.71}

K3R2,Submissions/,6,20,on,4000,,1.5,

K3R2,Submissions/,6,20,on,4000,,2,
